us_id,target,target_score
71092,0,0.46262157
2259,0,0.25335258
26129,0,0.13860796
28155,0,0.05969505
82400,0,0.16574636
58031,0,0.18465166
75607,0,0.13385117
39039,0,0.14835618
49378,0,0.06568622
38411,0,0.117526725
57989,0,0.16499585
51916,0,0.08070967
43193,0,0.16875504
63472,0,0.121867135
72581,0,0.05551185
39132,0,0.2784663
36900,0,0.1372664
51655,0,0.058418613
39444,0,0.053990025
56635,0,0.10512218
49150,0,0.16112497
45157,0,0.07448949
27628,0,0.45112297
67247,0,0.16724168
68913,0,0.11176325
50536,0,0.1295667
78804,0,0.07719909
23015,0,0.09717591
5965,0,0.30585784
66798,0,0.1568708
79240,0,0.10026979
38704,0,0.17032467
19537,0,0.12743333
23293,0,0.058185454
45598,0,0.15872338
11499,0,0.109850265
23192,0,0.0850643
11519,0,0.078957245
16912,0,0.15542197
41575,0,0.24063599
69045,0,0.060750246
53906,0,0.054024957
77148,0,0.070993826
38415,0,0.22909623
7400,1,0.5398241
19994,0,0.09536653
11191,0,0.21196197
13766,0,0.111689016
12508,1,0.50325686
28692,0,0.09961536
76598,0,0.13233311
72723,0,0.2813922
45905,0,0.13589431
36577,0,0.38587692
32166,0,0.17788553
36958,0,0.13058124
39557,0,0.14993794
12113,0,0.07671372
42254,0,0.21843114
76648,0,0.15697762
20031,0,0.17188436
16892,0,0.1822198
78142,0,0.07667551
81460,0,0.089562714
30691,0,0.16183509
67140,0,0.109536126
34883,0,0.24879384
81218,0,0.33524248
4615,0,0.09449206
72902,0,0.16029492
7968,0,0.08176242
68711,0,0.14680183
70899,0,0.10973142
79623,0,0.13344517
35454,0,0.39994362
17399,0,0.109053716
3106,0,0.12804653
54411,0,0.17450415
71777,0,0.29130626
82450,0,0.09009612
64802,0,0.091631725
32157,0,0.2750366
8772,0,0.17646986
2437,0,0.11747737
35182,0,0.316724
51432,0,0.08650095
28489,0,0.15808913
40034,0,0.103775255
37690,1,0.54484224
57560,0,0.08635767
79780,0,0.15566628
30887,0,0.29578
47374,0,0.08206935
47239,0,0.14533705
38022,0,0.17587174
68888,0,0.113216214
21601,0,0.07473897
64223,0,0.06873796
45800,0,0.12658527
4762,0,0.14555573
12621,0,0.10278736
14335,0,0.055418722
20638,0,0.25556234
41445,0,0.27189776
67103,0,0.12228563
63343,0,0.049669553
66019,0,0.03463085
28544,0,0.09766242
32042,0,0.08310226
6561,0,0.18940477
8963,0,0.18347932
43251,0,0.0648202
3474,0,0.38388073
48310,0,0.1544185
15293,0,0.1683962
51588,0,0.10987148
76758,0,0.14232795
76497,0,0.11262542
50341,0,0.10665504
26544,0,0.1597061
33912,0,0.0862996
56458,0,0.2462643
55846,0,0.109234884
57651,0,0.21476927
53177,1,0.5112408
71239,0,0.14763461
